Date,News_Count,Avg_Sentiment,Positive_Sentiment,Negative_Sentiment,Neutral_Sentiment,Max_Sentiment,Min_Sentiment,Sentiment_Std
2012-06-18,4,-0.09276205,0.0806508,0.17341286,0.74593633,0.10323695,-0.57205415,0.32279128
2012-06-20,3,-0.18676794,0.13841264,0.32518056,0.5364068,0.2306987,-0.85890114,0.58774847
2012-07-02,4,0.04567896,0.17143236,0.1257534,0.7028142,0.11688841,-0.05642277,0.07304875
2012-07-10,2,-0.4292655,0.055103265,0.48436877,0.460528,0.08894821,-0.9474792,0.73286486
2012-07-19,4,0.12274111,0.15378092,0.031039812,0.8151792,0.477276,-0.031528026,0.23776597
2012-07-23,1,-0.3632978,0.029189019,0.3924868,0.57832414,-0.3632978,-0.3632978,0.0
2012-07-24,7,-0.032107107,0.16829224,0.20039932,0.6313085,0.8794395,-0.8234469,0.5064296
2012-07-25,3,0.28925857,0.3481793,0.05892073,0.5929,0.8430884,-0.06923683,0.48651925
2012-07-31,1,-0.24678874,0.027230743,0.27401948,0.6987497,-0.24678874,-0.24678874,0.0
2012-08-03,5,-0.1634303,0.049098693,0.21252899,0.7383723,0.08276399,-0.9204753,0.42490086
2012-08-13,1,-0.03323042,0.041321937,0.07455236,0.8841257,-0.03323042,-0.03323042,0.0
2012-08-15,3,0.08449247,0.1095773,0.02508483,0.86533785,0.15684186,-0.009884775,0.085518196
2012-08-17,1,0.04136245,0.061636884,0.020274436,0.91808873,0.04136245,0.04136245,0.0
2012-08-24,2,0.13163444,0.15906048,0.027426042,0.81351346,0.18652678,0.076742105,0.077629484
2012-08-31,3,-0.3229071,0.04879749,0.37170458,0.57949793,-0.058139365,-0.5308068,0.24141064
2012-09-13,3,0.07549122,0.099804044,0.024312824,0.87588316,0.12436888,-0.016771683,0.0799492
2012-09-21,4,-0.0033082827,0.06600326,0.069311544,0.8646852,0.08524789,-0.14966857,0.102279045
2012-09-26,3,0.06293658,0.11613133,0.05319475,0.83067393,0.15582705,-0.006765507,0.08373984
2012-10-04,5,0.09620675,0.1436129,0.04740616,0.80898094,0.15204608,0.029082097,0.058901947
2012-10-08,1,-0.02007354,0.06782799,0.08790153,0.84427047,-0.02007354,-0.02007354,0.0
2012-10-15,3,-0.16777329,0.08132843,0.24910171,0.6695699,0.080648765,-0.616061,0.38898692
2012-10-17,6,-0.00118837,0.060227975,0.061416343,0.8783557,0.08305293,-0.15614584,0.086098775
2012-10-25,2,0.019574363,0.05944234,0.03986798,0.90068966,0.07630801,-0.037159286,0.0802335
2012-10-31,1,0.018660186,0.04578704,0.027126854,0.9270861,0.018660186,0.018660186,0.0
2012-11-02,2,-0.4863968,0.058046434,0.54444325,0.39751032,-0.028603166,-0.94419044,0.64741796
2012-11-12,5,-0.15845013,0.061830334,0.22028048,0.7178892,0.10146611,-0.8069905,0.37502697
2012-11-15,1,0.09085204,0.10212809,0.011276053,0.88659585,0.09085204,0.09085204,0.0
2012-11-16,3,0.0616323,0.12072482,0.05909251,0.8201826,0.21739376,-0.09003177,0.15375371
2012-11-21,3,0.023501022,0.05680266,0.03330164,0.9098957,0.074932545,-0.003637515,0.044563726
2012-11-26,1,0.75028986,0.7641345,0.01384468,0.22202075,0.75028986,0.75028986,0.0
2012-11-29,4,0.017793626,0.2602654,0.2424718,0.49726278,0.91174144,-0.75784427,0.6867629
2012-11-30,5,0.022354616,0.088813834,0.06645922,0.8447269,0.111305475,-0.18797588,0.119559556
2012-12-17,1,-0.8788254,0.022187436,0.90101284,0.0767998,-0.8788254,-0.8788254,0.0
2012-12-24,1,-0.062018685,0.030660758,0.09267944,0.8766598,-0.062018685,-0.062018685,0.0
2013-01-02,4,0.183245,0.29831347,0.11506845,0.58661807,0.73304325,-0.08746858,0.37286857
2013-01-04,1,-0.061772734,0.026340509,0.08811324,0.88554627,-0.061772734,-0.061772734,0.0
2013-01-08,3,-0.116767764,0.049383607,0.16615136,0.7844651,0.047134317,-0.4405196,0.28038463
2013-01-09,3,-0.21509445,0.054723874,0.2698183,0.6754578,0.072843365,-0.7377706,0.45343173
